Language,Operation,Iteration,Time,Length
Perl,pack_x_zero,17,0.000262975692749023,10000000
Perl,pack_x_zero,18,0.000294208526611328,10000000
Perl,pack_x_zero,19,0.000261068344116211,10000000
Perl,pack_x_zero,20,0.000265121459960938,10000000
Perl,pack_x_zero,21,0.000260829925537109,10000000
Perl,pack_x_zero,22,0.000304937362670898,10000000
Perl,pack_x_zero,23,0.000258922576904297,10000000
Perl,pack_x_zero,24,0.000260114669799805,10000000
Perl,pack_x_zero,25,0.000259160995483398,10000000
Perl,pack_x_zero,26,0.000261068344116211,10000000
Perl,pack_x_zero,27,0.000258922576904297,10000000
Perl,pack_x_zero,28,0.000261068344116211,10000000
Perl,pack_x_zero,29,0.000286102294921875,10000000
Perl,pack_x_zero,30,0.000260114669799805,10000000
Perl,pack_x_zero,31,0.000259876251220703,10000000
Perl,pack_x_zero,32,0.000259876251220703,10000000
Perl,pack_x_zero,33,0.000258922576904297,10000000
Perl,pack_x_zero,34,0.000260114669799805,10000000
Perl,pack_x_zero,35,0.000259160995483398,10000000
Perl,pack_x_zero,36,0.000260114669799805,10000000
Perl,pack_x_zero,37,0.000298976898193359,10000000
Perl,pack_x_zero,38,0.000271081924438477,10000000
Perl,pack_x_zero,39,0.000262022018432617,10000000
Perl,pack_x_zero,40,0.000259160995483398,10000000
Perl,pack_x_zero,41,0.000260114669799805,10000000
Perl,pack_x_zero,42,0.000261068344116211,10000000
Perl,pack_x_zero,43,0.000257968902587891,10000000
Perl,pack_x_zero,44,0.000257968902587891,10000000
Perl,pack_x_zero,45,0.000258922576904297,10000000
Perl,pack_x_zero,46,0.000261068344116211,10000000
Perl,pack_x_zero,47,0.000283002853393555,10000000
Perl,pack_x_zero,48,0.000271081924438477,10000000
Perl,pack_x_zero,49,0.000271081924438477,10000000
Perl,pack_x_zero,50,0.000270843505859375,10000000
Perl,pack_x_zero,51,0.000269174575805664,10000000
Perl,pack_x_zero,52,0.000322103500366211,10000000
Perl,pack_x_zero,53,0.000259876251220703,10000000
Perl,pack_x_zero,54,0.000259876251220703,10000000
Perl,pack_x_zero,55,0.000258922576904297,10000000
Perl,pack_x_zero,56,0.000261068344116211,10000000
Perl,pack_x_zero,57,0.000260114669799805,10000000
Perl,pack_x_zero,58,0.000283956527709961,10000000
Perl,pack_x_zero,59,0.000258922576904297,10000000
Perl,pack_x_zero,60,0.000261068344116211,10000000
Perl,pack_x_zero,61,0.000259160995483398,10000000
Perl,pack_x_zero,62,0.000257968902587891,10000000
Perl,pack_x_zero,63,0.000258922576904297,10000000
Perl,pack_x_zero,64,0.000257968902587891,10000000
Perl,pack_x_zero,65,0.000257968902587891,10000000
Perl,pack_x_zero,66,0.000257968902587891,10000000
Perl,pack_x_zero,67,0.000298976898193359,10000000
Perl,pack_x_zero,68,0.000311136245727539,10000000
Perl,pack_x_zero,69,0.000281095504760742,10000000
Perl,pack_x_zero,70,0.000272035598754883,10000000
Perl,pack_x_zero,71,0.000271081924438477,10000000
Perl,pack_x_zero,72,0.000280141830444336,10000000
Perl,pack_x_zero,73,0.000275135040283203,10000000
Perl,pack_x_zero,74,0.000269889831542969,10000000
Perl,pack_x_zero,75,0.000272989273071289,10000000
Perl,pack_x_zero,76,0.000260114669799805,10000000
Perl,pack_x_zero,77,0.000262975692749023,10000000
Perl,pack_x_zero,78,0.000257015228271484,10000000
Perl,pack_x_zero,79,0.000257968902587891,10000000
Perl,pack_x_zero,80,0.000260114669799805,10000000
Perl,pack_x_zero,81,0.000301122665405273,10000000
Perl,pack_x_zero,82,0.000285863876342773,10000000
Perl,pack_x_zero,83,0.000259876251220703,10000000
Perl,pack_x_zero,84,0.000258922576904297,10000000
Perl,pack_x_zero,85,0.000259876251220703,10000000
Perl,pack_x_zero,86,0.000260114669799805,10000000
Perl,pack_x_zero,87,0.000258207321166992,10000000
Perl,pack_x_zero,88,0.000258922576904297,10000000
Perl,pack_x_zero,89,0.000258922576904297,10000000
Perl,pack_x_zero,90,0.000256061553955078,10000000
Perl,pack_x_zero,91,0.000260114669799805,10000000
Perl,pack_x_zero,92,0.000258922576904297,10000000
Perl,pack_x_zero,93,0.000260114669799805,10000000
Perl,pack_x_zero,94,0.000257968902587891,10000000
Perl,pack_x_zero,95,0.000259160995483398,10000000
Perl,pack_x_zero,96,0.000286102294921875,10000000
Perl,pack_x_zero,97,0.000258922576904297,10000000
Perl,pack_x_zero,98,0.000257015228271484,10000000
Perl,pack_x_zero,99,0.000260114669799805,10000000
Perl,pack_x_zero,100,0.000258207321166992,10000000
PerlAPI,Newxz_zero,1,7.39097595214844e-05,10000000
PerlAPI,Newxz_zero,2,5.00679016113281e-06,10000000
PerlAPI,Newxz_zero,3,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,4,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,5,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,6,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,7,2.86102294921875e-06,10000000
PerlAPI,Newxz_zero,8,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,9,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,10,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,11,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,12,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,13,3.09944152832031e-06,10000000
PerlAPI,Newxz_zero,14,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,15,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,16,7.15255737304688e-06,10000000
PerlAPI,Newxz_zero,17,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,18,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,19,3.09944152832031e-06,10000000
PerlAPI,Newxz_zero,20,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,21,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,22,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,23,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,24,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,25,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,26,3.09944152832031e-06,10000000
PerlAPI,Newxz_zero,27,2.86102294921875e-06,10000000
PerlAPI,Newxz_zero,28,2.86102294921875e-06,10000000
PerlAPI,Newxz_zero,29,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,30,3.09944152832031e-06,10000000
PerlAPI,Newxz_zero,31,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,32,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,33,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,34,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,35,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,36,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,37,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,38,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,39,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,40,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,41,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,42,3.09944152832031e-06,10000000
PerlAPI,Newxz_zero,43,3.09944152832031e-06,10000000
PerlAPI,Newxz_zero,44,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,45,6.91413879394531e-06,10000000
PerlAPI,Newxz_zero,46,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,47,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,48,2.86102294921875e-06,10000000
PerlAPI,Newxz_zero,49,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,50,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,51,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,52,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,53,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,54,3.09944152832031e-06,10000000
PerlAPI,Newxz_zero,55,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,56,3.09944152832031e-06,10000000
PerlAPI,Newxz_zero,57,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,58,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,59,1.9073486328125e-06,10000000
