Language,Operation,Iteration,Time,Length
C,C_malloc,1,0.000108003616333008,100000000
C,C_malloc,2,8.10623168945312e-06,100000000
C,C_malloc,3,5.00679016113281e-06,100000000
C,C_malloc,4,4.05311584472656e-06,100000000
C,C_malloc,5,4.05311584472656e-06,100000000
C,C_malloc_touch,1,0.00406098365783691,100000000
C,C_malloc_touch,2,0.00345516204833984,100000000
C,C_malloc_touch,3,0.00337696075439453,100000000
C,C_malloc_touch,4,0.00356793403625488,100000000
C,C_malloc_touch,5,0.00329303741455078,100000000
PerlAPI,Newx_touch,1,8.392333984375e-05,100000000
PerlAPI,Newx_touch,2,4.05311584472656e-06,100000000
PerlAPI,Newx_touch,3,3.814697265625e-06,100000000
PerlAPI,Newx_touch,4,4.05311584472656e-06,100000000
PerlAPI,Newx_touch,5,5.96046447753906e-06,100000000
PerlAPI,Newxz_zero_touch,1,7.60555267333984e-05,100000000
PerlAPI,Newxz_zero_touch,2,5.96046447753906e-06,100000000
PerlAPI,Newxz_zero_touch,3,3.09944152832031e-06,100000000
PerlAPI,Newxz_zero_touch,4,3.09944152832031e-06,100000000
PerlAPI,Newxz_zero_touch,5,3.09944152832031e-06,100000000
PerlAPI,Newx,1,7.48634338378906e-05,100000000
PerlAPI,Newx,2,5.96046447753906e-06,100000000
PerlAPI,Newx,3,3.09944152832031e-06,100000000
PerlAPI,Newx,4,2.86102294921875e-06,100000000
PerlAPI,Newx,5,1.9073486328125e-06,100000000
C,C_malloc_touch,1,0.00521707534790039,1000000000
C,C_malloc_touch,2,0.00555801391601562,1000000000
C,C_malloc_touch,3,0.00385713577270508,1000000000
C,C_malloc_touch,4,0.00340509414672852,1000000000
C,C_malloc_touch,5,0.00336503982543945,1000000000
PerlAPI,Newxz_zero,1,7.89165496826172e-05,1000000000
PerlAPI,Newxz_zero,2,5.96046447753906e-06,1000000000
PerlAPI,Newxz_zero,3,2.86102294921875e-06,1000000000
PerlAPI,Newxz_zero,4,2.86102294921875e-06,1000000000
PerlAPI,Newxz_zero,5,2.86102294921875e-06,1000000000
PerlAPI,Newx,1,0.000221967697143555,1000000000
PerlAPI,Newx,2,1.9073486328125e-05,1000000000
PerlAPI,Newx,3,1.09672546386719e-05,1000000000
PerlAPI,Newx,4,1.12056732177734e-05,1000000000
PerlAPI,Newx,5,8.10623168945312e-06,1000000000
PerlAPI,Newx_touch,1,8.79764556884766e-05,1000000000
PerlAPI,Newx_touch,2,7.15255737304688e-06,1000000000
PerlAPI,Newx_touch,3,3.09944152832031e-06,1000000000
PerlAPI,Newx_touch,4,2.14576721191406e-06,1000000000
PerlAPI,Newx_touch,5,3.09944152832031e-06,1000000000
C,C_malloc,1,8.98838043212891e-05,1000000000
C,C_malloc,2,1.31130218505859e-05,1000000000
C,C_malloc,3,4.05311584472656e-06,1000000000
C,C_malloc,4,2.86102294921875e-06,1000000000
C,C_malloc,5,4.05311584472656e-06,1000000000
PerlAPI,Newxz_zero_touch,1,0.000133991241455078,1000000000
PerlAPI,Newxz_zero_touch,2,9.05990600585938e-06,1000000000
PerlAPI,Newxz_zero_touch,3,9.05990600585938e-06,1000000000
PerlAPI,Newxz_zero_touch,4,5.96046447753906e-06,1000000000
PerlAPI,Newxz_zero_touch,5,4.05311584472656e-06,1000000000
PerlAPI,Newxz_zero,1,7.70092010498047e-05,10000000000
PerlAPI,Newxz_zero,2,5.96046447753906e-06,10000000000
PerlAPI,Newxz_zero,3,3.814697265625e-06,10000000000
PerlAPI,Newxz_zero,4,2.86102294921875e-06,10000000000
PerlAPI,Newxz_zero,5,2.86102294921875e-06,10000000000
C,C_malloc_touch,1,0.00465798377990723,10000000000
C,C_malloc_touch,2,0.00484108924865723,10000000000
C,C_malloc_touch,3,0.00438904762268066,10000000000
C,C_malloc_touch,4,0.00433516502380371,10000000000
C,C_malloc_touch,5,0.0045630931854248,10000000000
PerlAPI,Newx,1,8.29696655273438e-05,10000000000
PerlAPI,Newx,2,5.00679016113281e-06,10000000000
PerlAPI,Newx,3,7.15255737304688e-06,10000000000
PerlAPI,Newx,4,3.09944152832031e-06,10000000000
PerlAPI,Newx,5,3.09944152832031e-06,10000000000
PerlAPI,Newx_touch,1,0.000108003616333008,10000000000
PerlAPI,Newx_touch,2,6.91413879394531e-06,10000000000
PerlAPI,Newx_touch,3,8.10623168945312e-06,10000000000
PerlAPI,Newx_touch,4,4.05311584472656e-06,10000000000
PerlAPI,Newx_touch,5,3.814697265625e-06,10000000000
C,C_malloc,1,7.29560852050781e-05,10000000000
C,C_malloc,2,4.05311584472656e-06,10000000000
C,C_malloc,3,2.86102294921875e-06,10000000000
C,C_malloc,4,5.96046447753906e-06,10000000000
C,C_malloc,5,4.05311584472656e-06,10000000000
PerlAPI,Newxz_zero_touch,1,0.00016021728515625,10000000000
PerlAPI,Newxz_zero_touch,2,1.19209289550781e-05,10000000000
PerlAPI,Newxz_zero_touch,3,2.09808349609375e-05,10000000000
PerlAPI,Newxz_zero_touch,4,1.28746032714844e-05,10000000000
PerlAPI,Newxz_zero_touch,5,9.05990600585938e-06,10000000000
